sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	TAM	Voice	head_inflection	head_stem	karka Relation
3925	30	।	।	punc	-	-	-	-	-	-	-	हालांकि	हालांकि	rsym
3926	1	फिल्म	फिल्म	n	f	sg	3	d	0	0	-	महोत्सव	महोत्सव	pof__cn
3926	2	महोत्सव	महोत्सव	n	m	sg	3	o	0_में	0	-	होना	हो	k7
3926	3	में	में	psp	-	-	-	-	-	-	-	महोत्सव	महोत्सव	lwg__psp
3926	4	प्रकाश	प्रकाश	n	m	sg	3	d	0	0	-	झा	झा	pof__cn
3926	5	झा	झा	n	any	sg	3	o	0_का	0	-	फिल्म	फिल्म	r6
3926	6	की	का	psp	f	sg	-	o	-	-	-	झा	झा	lwg__psp
3926	7	नई	नया	adj	f	sg	-	o	-	-	-	फिल्म	फिल्म	nmod__adj
3926	8	फिल्म	फिल्म	n	f	sg	3	o	0	0	-	अपहरण	अपहरण	nmod
3926	9	अपहरण	अपहरण	n	m	sg	3	o	0_का	0	-	प्रीमियर	प्रीमियर	r6-k1
3926	10	का	का	psp	m	sg	-	d	-	-	-	अपहरण	अपहरण	lwg__psp
3926	11	भी	भी	avy	-	-	-	-	-	-	-	अपहरण	अपहरण	lwg__rp
3926	12	प्रीमियर	प्रीमियर	n	m	sg	3	d	0	0	-	होना	हो	pof
3926	13	होना	हो	v	m	sg	3	-	ना_है	nA	active	ROOT	ROOT	main
3926	14	है	है	v	any	sg	3	-	है	hE	-	होना	हो	lwg__vaux
3926	15	।	।	punc	-	-	-	-	-	-	-	होना	हो	rsym
3927	1	गंगाजल	गंगाजल	n	m	sg	3	o	0_के_बाद	0	-	है	है	k7t
3927	2	के	के	psp	-	-	-	-	-	-	-	गंगाजल	गंगाजल	lwg__psp
3927	3	बाद	बाद	nst	m	sg	3	d	-	-	-	गंगाजल	गंगाजल	lwg__psp
3927	4	झा	झा	n	any	sg	3	o	0_का	0	-	यह	यह	r6
3927	5	की	का	psp	f	sg	-	d	-	-	-	झा	झा	lwg__psp
3927	6	यह	यह	pn	any	sg	3	d	0	0	-	है	है	k1
3927	7	किसी	कोई	pn	any	sg	3	o	0	0	-	विषय	विषय	mod
3927	8	अलग	अलग	adj	any	any	-	o	-	-	-	विषय	विषय	nmod__adj
3927	9	विषय	विषय	n	m	sg	3	o	0_पर	0	-	बनी	बन	k7
3927	10	पर	पर	psp	-	-	-	-	-	-	-	विषय	विषय	lwg__psp
3927	11	बनी	बन	v	f	sg	any	-	या	yA	-	फिल्म	फिल्म	nmod__k1inv
3927	12	दूसरी	दूसरा	num	f	sg	-	d	-	-	-	फिल्म	फिल्म	nmod__adj
3927	13	फिल्म	फिल्म	n	f	sg	3	d	0	0	-	है	है	k1s
3927	14	है	है	v	any	sg	3	-	है	hE	active	ROOT	ROOT	main
3927	15	।	।	punc	-	-	-	-	-	-	-	है	है	rsym
3928	1	इस	यह	pn	any	sg	3	o	-	-	-	फिल्म	फिल्म	nmod__adj
3928	2	फिल्म	फिल्म	n	f	sg	3	o	0_में	0	-	किया	कर	k7
3928	3	में	में	psp	-	-	-	-	-	-	-	फिल्म	फिल्म	lwg__psp
3928	4	बिपाशा	बिपाशा	n	f	sg	3	d	0	0	-	बसु	बसु	pof__cn
3928	5	बसु	बसु	n	any	sg	3	o	0_ने	0	-	किया	कर	k1
3928	6	ने	ने	psp	-	-	-	-	-	-	-	बसु	बसु	lwg__psp
3928	7	भी	भी	avy	-	-	-	-	-	-	-	बसु	बसु	lwg__rp
3928	8	बतौर	बतौर	psp	-	-	-	-	-	-	-	अभिनेत्री	अभिनेत्री	lwg__psp
3928	9	अभिनेत्री	अभिनेत्री	n	f	sg	3	o	0_बतौर	0	-	किया	कर	k1s
3928	10	काम	काम	n	m	sg	3	d	0	0	-	किया	कर	k2
3928	11	किया	कर	v	m	sg	3	-	या_है	yA	active	ROOT	ROOT	main
3928	12	है	है	v	any	sg	3	-	है	hE	-	किया	कर	lwg__vaux
3928	13	।	।	punc	-	-	-	-	-	-	-	किया	कर	rsym
3929	1	इस	यह	pn	any	sg	3	o	-	-	-	फिल्म	फिल्म	nmod__adj
3929	2	फिल्म	फिल्म	n	f	sg	3	o	0_में	0	-	बने	बन	k7
3929	3	में	में	psp	-	-	-	-	-	-	-	फिल्म	फिल्म	lwg__psp
3929	4	उनके	वह	pn	m	sg	3h	o	का	kA	-	हीरो	हीरो	r6
3929	5	हीरो	हीरो	n	m	sg	3	d	0	0	-	बने	बन	k1
3929	6	अजय	अजय	n	m	sg	3	d	0	0	-	देवगन	देवगन	pof__cn
3929	7	देवगन	देवगन	n	any	sg	3	d	0	0	-	बने	बन	k1s
3929	8	बने	बन	v	m	sg	3h	-	या_है	yA	active	ROOT	ROOT	main
3929	9	है	है	v	any	sg	3h	-	है	hE	-	बने	बन	lwg__vaux
3929	10	।	।	punc	-	-	-	-	-	-	-	बने	बन	rsym
3930	1	चूंकि	चूंकि	avy	-	-	-	-	-	-	-	थी	था	rs
3930	2	अपहरण	अपहरण	n	m	sg	3	o	0_का	0	-	प्रीमियर	प्रीमियर	r6
3930	3	का	का	psp	m	sg	-	d	-	-	-	अपहरण	अपहरण	lwg__psp
3930	4	प्रीमियर	प्रीमियर	n	m	sg	3	d	0	0	-	होना	हो	k1
3930	5	यहां	यहाँ	pn	-	-	-	o	0_पर	-	-	होना	हो	k7p
3930	6	पर	पर	psp	-	-	-	-	-	-	-	यहां	यहाँ	lwg__psp
3930	7	होना	हो	v	m	sg	any	-	ना_था	nA	active	चूंकि	चूंकि	ccof
3930	8	था	था	v	m	sg	any	-	था	WA	-	होना	हो	lwg__vaux
3930	9	इसीलिए	इसीलिए	pn	-	-	-	-	-	-	-	थी	था	rh
3930	10	बिपाशा	बिपाशा	n	f	sg	3	o	0_का	0	-	समारोह	समारोह	r6
3930	11	की	का	psp	f	sg	-	d	-	-	-	बिपाशा	बिपाशा	lwg__psp
3930	12	उपस्थिति	उपस्थिति	n	f	sg	3	d	0	0	-	थी	था	k1
3930	13	इस	यह	pn	any	sg	3	o	-	-	-	समारोह	समारोह	nmod__adj
3930	14	समारोह	समारोह	n	m	sg	3	o	0_में	0	-	थी	था	k7
3930	15	में	में	psp	-	-	-	-	-	-	-	समारोह	समारोह	lwg__psp
3930	16	काफी	काफी	avy	-	-	-	-	-	-	-	अहम	अहम	nmod__adj
