sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	TAM	Voice	head_inflection	head_stem	karka Relation
9881	12	वाले	वाला	psp	m	sg	-	o	-	-	-	किए	कर	lwg__psp
9881	13	गेहूं	गेहूँ	n	m	sg	3	o	0_का	0	-	कीमतों	कीमत	r6
9881	14	की	का	psp	f	pl	-	o	-	-	-	गेहूं	गेहूँ	lwg__psp
9881	15	कीमतों	कीमत	n	f	pl	3	o	0_में	0	-	करने	कर	k7
9881	16	में	में	psp	-	-	-	-	-	-	-	कीमतों	कीमत	lwg__psp
9881	17	परिवर्तन	परिवर्तन	n	m	sg	3	d	0	0	-	करने	कर	pof
9881	18	करने	कर	v	any	pl	any	o	ना_का	nA	-	खबरों	खबर	r6
9881	19	की	का	psp	f	pl	-	o	-	-	-	करने	कर	lwg__psp
9881	20	मीडिया	मीडिया	n	m	sg	3	o	0_में	0	-	छपी	छप	k7p
9881	21	में	में	psp	-	-	-	-	-	-	-	मीडिया	मीडिया	lwg__psp
9881	22	छपी	छप	v	f	sg	any	-	या	yA	-	खबरों	खबर	nmod__k1inv
9881	23	कुछ	कुछ	avy	-	-	-	-	-	-	-	खबरों	खबर	nmod__adj
9881	24	खबरों	खबर	n	f	pl	3	o	0_पर	0	-	किया	कर	k7
9881	25	पर	पर	psp	-	-	-	-	-	-	-	खबरों	खबर	lwg__psp
9881	26	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	कहा	कह	k1
9881	27	कहा	कह	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
9881	28	कि	कि	avy	-	-	-	-	-	-	-	कहा	कह	k2
9881	29	सरकार	सरकार	n	f	sg	3	o	0_ने	0	-	किया	कर	k1
9881	30	ने	ने	psp	-	-	-	-	-	-	-	सरकार	सरकार	lwg__psp
9881	31	इस	यह	pn	any	sg	3	o	0_बारे_में	0	-	किया	कर	k7
9881	32	बारे	बारे	psp	-	-	-	-	-	-	-	इस	यह	lwg__psp
9881	33	में	में	psp	-	-	-	-	-	-	-	इस	यह	lwg__psp
9881	34	फिलहाल	फिलहाल	adv	-	-	-	-	-	-	-	किया	कर	vmod
9881	35	कोई	कोई	pn	any	sg	3	d	0	0	-	विचार	विचार	mod
9881	36	विचार	विचार	n	m	sg	3	d	0	0	-	किया	कर	k2
9881	37	नहीं	नहीं	avy	-	-	-	-	-	-	-	किया	कर	lwg__neg
9881	38	किया	कर	v	m	sg	3	-	या_है	yA	active	कि	कि	ccof
9881	39	है	है	v	any	sg	3	-	है	hE	-	किया	कर	lwg__vaux
9881	40	।	।	punc	-	-	-	-	-	-	-	कहा	कह	rsym
9882	1	यह	यह	pn	any	sg	3	d	-	-	-	स्तम्भ	स्तंभ	nmod__adj
9882	2	स्तम्भ	स्तंभ	n	m	sg	3	d	0	0	-	है	है	k1
9882	3	,	COMMA	punc	-	-	-	-	-	-	-	स्तम्भ	स्तंभ	rsym
9882	4	मुख्य	मुख्य	adj	any	any	-	o	-	-	-	स्तूप	स्तूप	nmod__adj
9882	5	स्तूप	स्तूप	n	m	sg	3	o	0_का	0	-	द्वार	द्वार	r6
9882	6	के	का	psp	m	sg	-	o	-	-	-	स्तूप	स्तूप	lwg__psp
9882	7	दक्षिणी	दक्षिणी	adj	any	any	-	o	-	-	-	द्वार	द्वार	nmod__adj
9882	8	द्वार	द्वार	n	m	sg	3	o	0_के_पास	0	-	है	है	k7p
9882	9	के	के	psp	-	-	-	-	-	-	-	द्वार	द्वार	lwg__psp
9882	10	पास	पास	nst	m	sg	3	d	-	-	-	द्वार	द्वार	lwg__psp
9882	11	स्थित	स्थित	adj	any	any	-	-	-	-	-	है	है	k1s
9882	12	है	है	v	any	sg	3	-	है	hE	active	ROOT	ROOT	main
9882	13	।	।	punc	-	-	-	-	-	-	-	है	है	rsym
9883	1	वर्तमान	वर्तमान	n	m	sg	3	o	0_में	0	-	है	है	k7t
9883	2	में	में	psp	-	-	-	-	-	-	-	वर्तमान	वर्तमान	lwg__psp
9883	3	इसका	यह	pn	m	sg	3	o	का	kA	-	स्तंभ	स्तंभ	r6
9883	4	स्तंभ	स्तंभ	n	m	sg	3	d	0	0	-	है	है	k1
9883	5	ही	ही	avy	-	-	-	-	-	-	-	स्तंभ	स्तंभ	lwg__rp
9883	6	वहाँ	वहाँ	pn	-	-	-	d	-	-	-	है	है	k7p
9883	7	है	है	v	any	sg	3	-	है	hE	active	ROOT	ROOT	main
9883	8	।	।	punc	-	-	-	-	-	-	-	है	है	rsym
9884	1	चार	चार	num	any	any	-	any	-	-	-	सिंहों	सिंह	nmod__adj
9884	2	सिंहों	सिंह	n	m	pl	3	o	0_वाला	0	-	शीर्ष	शीर्ष	nmod
9884	3	वाला	वाला	psp	m	sg	-	o	-	-	-	सिंहों	सिंह	lwg__psp
9884	4	इसका	यह	pn	m	sg	3	o	का	kA	-	शीर्ष	शीर्ष	r6
9884	5	प्रमुख	प्रमुख	adj	any	any	-	d	-	-	-	शीर्ष	शीर्ष	nmod__adj
9884	6	शीर्ष	शीर्ष	n	m	sg	3	d	0	0	-	देखा	देख	k2
9884	7	नीचे	नीचे	nst	m	sg	3	d	-	-	-	देखा	देख	k7p
9884	8	संग्रहालय	संग्रहालय	n	m	sg	3	o	0_में	0	-	देखा	देख	k7p
9884	9	में	में	psp	-	-	-	-	-	-	-	संग्रहालय	संग्रहालय	lwg__psp
