sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	Tam	Voice	head_index	head_inflection	karaka Relation
9445	5	भरी	भर	v	f	sg	any	-	या	yA	-	6.0	आत्मकथा	nmod
9445	6	आत्मकथा	आत्मकथा	n	f	sg	3	o	0_में	0	-	10.0	कहा	k7
9445	7	में	में	psp	-	-	-	-	-	-	-	6.0	आत्मकथा	lwg__psp
9445	8	एलेक्जेंडर	एलेक्जेंडर	n	m	sg	3	o	0_ने	0	-	10.0	कहा	k1
9445	9	ने	ने	psp	-	-	-	-	-	-	-	8.0	एलेक्जेंडर	lwg__psp
9445	10	कहा	कह	v	m	sg	any	-	या	yA	active	0.0	ROOT	main
9445	11	कि	कि	avy	-	-	-	-	-	-	-	10.0	कहा	k2
9445	12	2002	2002	n	m	sg	3	o	0_का	0	-	15.0	चुनाव	r6
9445	13	के	का	psp	m	sg	-	o	-	-	-	12.0	2002	lwg__psp
9445	14	राष्ट्रपति	राष्ट्रपति	n	m	sg	3	d	0	0	-	15.0	चुनाव	nmod__adj
9445	15	चुनाव	चुनाव	n	m	sg	3	o	0_में	0	-	29.0	हो	k7
9445	16	में	में	psp	-	-	-	-	-	-	-	15.0	चुनाव	lwg__psp
9445	17	उनकी	वह	pn	f	sg	3h	o	का	kA	-	18.0	उम्मीदवारी	r6
9445	18	उम्मीदवारी	उम्मीदवारी	n	f	sg	3	o	0	0	-	29.0	हो	k1
9445	19	कुछ	कुछ	avy	-	-	-	-	-	-	-	20.0	कांग्रेस	nmod__adj
9445	20	कांग्रेस	कांग्रेस	n	f	sg	3	d	0	0	-	21.0	नेताओं	nmod__adj
9445	21	नेताओं	नेता	n	m	pl	3	o	0_का	0	-	25.0	तोड़	r6
9445	22	की	का	psp	f	sg	-	o	-	-	-	21.0	नेताओं	lwg__psp
9445	23	जोड़	जोड	n	f	sg	3	d	0	0	-	25.0	तोड़	pof__cn
9445	24	-	-	punc	-	-	-	-	-	-	-	25.0	तोड़	rsym
9445	25	तोड़	तोड	n	f	sg	3	o	0_के_कारण	0	-	29.0	हो	rh
9445	26	के	के	psp	m	-	-	o	-	-	-	25.0	तोड़	lwg__psp
9445	27	कारण	कारण	psp	m	-	-	o	-	-	-	25.0	तोड़	lwg__psp
9445	28	खारिज	खारिज	adj	any	any	-	-	-	-	-	29.0	हो	pof
9445	29	हो	हो	v	any	sg	any	-	0_जा+या	0	active	11.0	कि	ccof
9445	30	गई	जा	v	f	sg	any	-	या	yA	-	29.0	हो	lwg__vaux
9445	31	।	।	punc	-	-	-	-	-	-	-	10.0	कहा	rsym
9446	1	ये	यह	pn	any	pl	3	d	0	0	-	4.0	थे	k1
9446	2	वो	वह	pn	any	pl	3	d	-	-	-	3.0	नेता	nmod__adj
9446	3	नेता	नेता	n	m	pl	3	d	0	0	-	4.0	थे	k1s
9446	4	थे	था	v	m	pl	3	-	था	WA	active	0.0	ROOT	main
9446	5	जिनके	जो	pn	m	pl	3	o	का	kA	-	7.0	आलाकमान	r6
9446	6	पार्टी	पार्टी	n	f	sg	3	d	0	0	-	7.0	आलाकमान	pof__cn
9446	7	आलाकमान	आलाकमान	n	m	sg	3	o	0_से	0	-	12.0	थे	ras-k1
9446	8	से	से	psp	-	-	-	-	-	-	-	7.0	आलाकमान	lwg__psp
9446	9	भी	भी	avy	-	-	-	-	-	-	-	7.0	आलाकमान	lwg__rp
9446	10	करीबी	करीबी	adj	any	any	-	d	-	-	-	11.0	संबंध	nmod__adj
9446	11	संबंध	संबंध	n	m	pl	3	d	0	0	-	12.0	थे	k1
9446	12	थे	था	v	m	pl	any	-	था	WA	active	3.0	नेता	nmod__relc
9446	13	।	।	punc	-	-	-	-	-	-	-	4.0	थे	rsym
9447	1	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	2.0	कहा	k1
9447	2	कहा	कह	v	m	sg	any	-	या	yA	active	0.0	ROOT	main
9447	3	कि	कि	avy	-	-	-	-	-	-	-	2.0	कहा	k2
9447	4	राष्ट्रपति	राष्ट्रपति	n	m	sg	3	o	0_का	0	-	6.0	चुनाव	r6
9447	5	के	का	psp	m	sg	-	o	-	-	-	4.0	राष्ट्रपति	lwg__psp
9447	6	चुनाव	चुनाव	n	m	sg	3	o	0_के_बाद	0	-	16.0	मिला	k7t
9447	7	के	के	psp	-	-	-	-	-	-	-	6.0	चुनाव	lwg__psp
9447	8	बाद	बाद	nst	m	sg	3	d	-	-	-	6.0	चुनाव	lwg__psp
9447	9	जब	जब	pn	-	-	-	-	-	-	-	16.0	मिला	k7t
9447	10	राजग	राजग	n	m	sg	3	o	0_को	0	-	16.0	मिला	k1
9447	11	को	को	psp	-	-	-	-	-	-	-	10.0	राजग	lwg__psp
9447	12	यह	यह	pn	any	sg	3	d	0	0	-	13.0	कहने	k2
9447	13	कहने	कह	v	any	sg	any	o	ना_का	nA	-	15.0	मौका	r6-k2
9447	14	का	का	psp	m	sg	-	d	-	-	-	13.0	कहने	lwg__psp
9447	15	मौका	मौका	n	m	sg	3	d	0	0	-	16.0	मिला	pof
9447	16	मिला	मिल	v	m	sg	any	-	या	yA	active	29.0	तब	nmod__relc
9447	17	कि	कि	avy	-	-	-	-	-	-	-	13.0	कहने	k2s
9447	18	उनके	वह	pn	m	sg	3h	o	का	kA	-	19.0	प्रत्याशी	r6
9447	19	प्रत्याशी	प्रत्याशी	n	m	sg	3	d	0	0	-	20.0	कलाम	nmod
9447	20	कलाम	कलाम	n	m	sg	3	o	0_को	0	-	27.0	किया	k2
9447	21	को	को	psp	-	-	-	-	-	-	-	20.0	कलाम	lwg__psp
9447	22	सभी	सभी	avy	-	-	-	-	-	-	-	24.0	दलों	nmod__adj
9447	23	राजनीतिक	राजनीतिक	adj	any	any	-	o	-	-	-	24.0	दलों	nmod__adj
9447	24	दलों	दल	n	m	pl	3	o	0_ने	0	-	27.0	किया	k1
9447	25	ने	ने	psp	-	-	-	-	-	-	-	24.0	दलों	lwg__psp
9447	26	कबूल	कबूल	n	m	sg	3	d	0	0	-	27.0	किया	pof
9447	27	किया	कर	v	m	sg	3	-	या_है	yA	active	17.0	कि	ccof
9447	28	है	है	v	any	sg	3	-	है	hE	-	27.0	किया	lwg__vaux
9447	29	तब	तब	pn	-	-	-	-	-	-	-	36.0	किया	k7t
9447	30	कांग्रेस	कांग्रेस	n	f	sg	3	o	0_ने	0	-	36.0	किया	k1
9447	31	ने	ने	psp	-	-	-	-	-	-	-	30.0	कांग्रेस	lwg__psp
9447	32	खुद	खुद	pn	-	-	-	o	0_को	-	-	30.0	कांग्रेस	nmod__emph
9447	33	को	को	psp	-	-	-	-	-	-	-	32.0	खुद	lwg__psp
9447	34	ठगा	ठग	v	m	sg	any	-	या	yA	-	36.0	किया	vmod
9447	35	महसूस	महसूस	adj	any	any	-	-	-	-	-	36.0	किया	pof
9447	36	किया	कर	v	m	sg	any	-	या	yA	active	3.0	कि	ccof
9447	37	।	।	punc	-	-	-	-	-	-	-	2.0	कहा	rsym
9448	1	एलेक्जेंडर	एलेक्जेंडर	n	m	sg	3	o	0_ने	0	-	3.0	कहा	k1
9448	2	ने	ने	psp	-	-	-	-	-	-	-	1.0	एलेक्जेंडर	lwg__psp
9448	3	कहा	कह	v	m	sg	any	-	या	yA	active	0.0	ROOT	main
9448	4	कि	कि	avy	-	-	-	-	-	-	-	3.0	कहा	k2
9448	5	पहले	पहले	nst	m	sg	3	d	-	-	-	12.0	करती	k7t
9448	6	कांग्रेस	कांग्रेस	n	f	sg	3	d	0	0	-	12.0	करती	k1
9448	7	के.	के.	n	m	sg	3	d	0	0	-	9.0	नारायणन	pof__cn
9448	8	आर.	आर.	null	m	sg	3	d	0	0	-	9.0	नारायणन	pof__cn
9448	9	नारायणन	नारायणन	n	m	sg	3	o	0_का	0	-	11.0	समर्थन	r6-k2
9448	10	का	का	psp	m	sg	-	d	-	-	-	9.0	नारायणन	lwg__psp
9448	11	समर्थन	समर्थन	n	m	sg	3	d	0	0	-	12.0	करती	pof
9448	12	रही	रह	v	f	sg	any	-	या	yA	-	12.0	करती	lwg__vaux
9448	13	फिर	फिर	adv	-	-	-	-	-	-	-	29.0	हो	adv
9448	14	वह	वह	pn	any	sg	3	d	0	0	-	29.0	हो	k1
9448	15	अगली	अगला	adj	f	sg	-	o	-	-	-	18.0	पसंद	nmod__adj
9448	16	पसंद	पसंद	n	f	sg	3	o	0_के_रूप_में	0	-	26.0	देने	k7
9448	17	के	के	psp	m	-	-	o	-	-	-	18.0	पसंद	lwg__psp
9448	18	रूप	रूप	n	m	-	-	o	-	-	-	18.0	पसंद	lwg__psp
9448	19	में	में	psp	-	-	-	-	-	-	-	18.0	पसंद	lwg__psp
9448	20	कृष्णकांत	कृष्णकांत	n	m	sg	3	o	0_को	0	-	26.0	देने	k4
9448	21	को	को	psp	-	-	-	-	-	-	-	22.0	कृष्णकांत	lwg__psp
9448	22	भी	भी	avy	-	-	-	-	-	-	-	22.0	कृष्णकांत	lwg__rp
9448	23	समर्थन	समर्थन	n	m	sg	3	d	0	0	-	26.0	देने	pof
9448	24	देने	दे	v	any	any	any	o	ना_को	nA	-	29.0	हो	rt
9448	25	को	को	psp	-	-	-	-	-	-	-	26.0	देने	lwg__psp
9448	26	तैयार	तैयार	adj	any	any	-	-	-	-	-	29.0	हो	pof
9448	27	हो	हो	v	any	sg	any	-	0_जा+या	0	active	31.0	लेकिन	ccof
9448	28	गई	जा	v	f	sg	any	-	या	yA	-	29.0	हो	lwg__vaux
9448	29	अंततः	अंततः	adv	-	-	-	-	-	-	-	39.0	लेना	adv
9448	30	उसे	वह	pn	any	sg	3	o	को	ko	-	39.0	लेना	k1
9448	31	अपने	अपना	pn	m	any	any	o	0	0	-	36.0	उम्मीदवारों	r6
9448	32	दोनों	दो	num	any	pl	-	any	-	-	-	36.0	उम्मीदवारों	nmod__adj
9448	33	उम्मीदवारों	उम्मीदवार	n	m	pl	3	o	0_को	0	-	39.0	लेना	k2
9448	34	को	को	psp	-	-	-	-	-	-	-	36.0	उम्मीदवारों	lwg__psp
9448	35	वापस	वापस	adj	any	any	-	-	-	-	-	39.0	लेना	pof
9448	36	लेना	ले	v	m	sg	any	-	ना_पड़+या	nA	active	31.0	लेकिन	ccof
9448	37	पड़ा	पड़	v	m	sg	any	-	या	yA	-	39.0	लेना	lwg__vaux
9448	38	।	।	punc	-	-	-	-	-	-	-	3.0	कहा	rsym
9449	1	हर्पर	हर्पर	n	m	sg	3	d	0	0	-	2.0	कॉलिंस	pof__cn
9449	2	कॉलिंस	कॉलिंस	n	m	sg	3	o	0_द्वारा	0	-	4.0	प्रकाशित	jjmod
9449	3	द्वारा	द्वारा	psp	-	-	-	-	-	-	-	2.0	कॉलिंस	lwg__psp
9449	4	प्रकाशित	प्रकाशित	adj	any	any	-	o	-	-	-	5.0	किताब	nmod
9449	5	किताब	किताब	n	f	sg	3	o	0_में	0	-	9.0	किया	k7
9449	6	में	में	psp	-	-	-	-	-	-	-	5.0	किताब	lwg__psp
9449	7	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	9.0	किया	k1
9449	8	दावा	दावा	n	m	sg	3	d	0	0	-	9.0	किया	pof
9449	9	किया	कर	v	m	sg	any	-	या	yA	active	0.0	ROOT	main
