sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	TAM	Voice	head_inflection	head_stem	karka Relation
5939	12	के	का	psp	m	sg	-	o	-	-	-	अदालत	अदालत	lwg__psp
5939	13	फैसले	फैसला	n	m	sg	3	o	0_का	0	-	उम्मीद	उम्मीद	r6
5939	14	की	का	psp	f	sg	-	d	-	-	-	फैसले	फैसला	lwg__psp
5939	15	उम्मीद	उम्मीद	n	f	sg	3	d	0	0	-	है	है	k1
5939	16	है	है	v	any	sg	3	-	है	hE	active	ROOT	ROOT	main
5939	17	।	।	punc	-	-	-	-	-	-	-	है	है	rsym
5940	1	हालांकि	हालांकि	avy	-	-	-	-	-	-	-	ROOT	ROOT	main
5940	2	मंगलवार	मंगलवार	n	m	sg	3	o	0_को	0	-	हुई	हो	k7t
5940	3	को	को	psp	-	-	-	-	-	-	-	मंगलवार	मंगलवार	lwg__psp
5940	4	इस	यह	pn	any	sg	3	o	0_पर	0	-	हुई	हो	k7
5940	5	पर	पर	psp	-	-	-	-	-	-	-	इस	यह	lwg__psp
5940	6	बहस	बहस	n	f	sg	3	d	0	0	-	हुई	हो	k1
5940	7	हुई	हो	v	f	sg	any	-	या	yA	active	हालांकि	हालांकि	ccof
5940	8	जो	जो	pn	any	sg	3	d	0	0	-	रहेगी	रह	k1
5940	9	बुधवार	बुधवार	n	m	sg	3	o	0_को	0	-	रहेगी	रह	k7t
5940	10	को	को	psp	-	-	-	-	-	-	-	बुधवार	बुधवार	lwg__psp
5940	11	भी	भी	avy	-	-	-	-	-	-	-	बुधवार	बुधवार	lwg__rp
5940	12	जारी	जारी	adj	any	any	-	-	-	-	-	रहेगी	रह	pof
5940	13	रहेगी	रह	v	f	sg	3	-	गा	gA	active	बहस	बहस	nmod__relc
5940	14	।	।	punc	-	-	-	-	-	-	-	हालांकि	हालांकि	rsym
5941	1	इससे	यह	pn	any	sg	3	o	0_पूर्व	se	-	दिए	दे	k7t
5941	2	पूर्व	पूर्व	nst	m	sg	3	d	-	-	-	इससे	यह	lwg__psp
5941	3	अदालत	अदालत	n	f	sg	3	o	0_ने	0	-	दिए	दे	k1
5941	4	ने	ने	psp	-	-	-	-	-	-	-	अदालत	अदालत	lwg__psp
5941	5	भंडारकर	भंडारकर	n	any	sg	3	o	0_को	0	-	करने	कर	k2
5941	6	को	को	psp	-	-	-	-	-	-	-	भंडारकर	भंडारकर	lwg__psp
5941	7	बुधवार	बुधवार	n	m	sg	3	o	0_तक_के_लिए	0	-	करने	कर	rt
5941	8	तक	तक	psp	-	-	-	-	-	-	-	बुधवार	बुधवार	lwg__psp
5941	9	के	के	psp	-	-	-	-	-	-	-	बुधवार	बुधवार	lwg__psp
5941	10	लिए	लिए	psp	-	-	-	-	-	-	-	बुधवार	बुधवार	lwg__psp
5941	11	गिरफ्तार	गिरफ्तार	adj	any	any	-	-	-	-	-	करने	कर	pof
5941	12	नहीं	नहीं	avy	-	-	-	-	-	-	-	करने	कर	lwg__neg
