sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	TAM	Voice	head_inflection	head_stem	karka Relation
7877	22	है	है	v	any	sg	3	-	है	hE	-	पाया	पा	lwg__vaux
7877	23	कि	कि	avy	-	-	-	-	-	-	-	पाया	पा	k2
7877	24	देश	देश	n	m	sg	3	o	0_में	0	-	बढ़	बढ	k7p
7877	25	में	में	psp	-	-	-	-	-	-	-	देश	देश	lwg__psp
7877	26	बौद्धों	बौद्ध	n	m	pl	3	o	0_का	0	-	आबादी	आबादी	r6
7877	27	की	का	psp	f	sg	-	d	-	-	-	बौद्धों	बौद्ध	lwg__psp
7877	28	आबादी	आबादी	n	f	sg	3	d	0	0	-	बढ़	बढ	k2
7877	29	बढ़	बढ	v	f	sg	3	-	0_रह+या_है	0	active	कि	कि	ccof
7877	30	रही	रह	v	f	sg	any	-	या	yA	-	बढ़	बढ	lwg__vaux
7877	31	है	है	v	any	sg	3	-	है	hE	-	रही	रह	lwg__vaux_cont
7877	32	।	।	punc	-	-	-	-	-	-	-	लेकिन	लेकिन	rsym
7878	1	यह	यह	pn	any	sg	3	d	-	-	-	आबादी	आबादी	nmod__adj
7878	2	आबादी	आबादी	n	f	sg	3	d	0	0	-	बढ़	बढ	k2
7878	3	कितनी	कितना	pn	f	sg	3	o	0	0	-	तेजी	तेजी	mod__wq
7878	4	तेजी	तेजी	n	f	sg	3	o	0_से	0	-	बढ़	बढ	adv
7878	5	से	से	psp	-	-	-	-	-	-	-	तेजी	तेजी	lwg__psp
7878	6	बढ़	बढ	v	f	sg	3	-	0_रह+या_है	0	active	इसकी	यह	rs
7878	7	रही	रह	v	f	sg	any	-	या	yA	-	बढ़	बढ	lwg__vaux
7878	8	है	है	v	any	sg	3	-	है	hE	-	रही	रह	lwg__vaux_cont
7878	9	इसकी	यह	pn	f	sg	3	o	का	kA	-	जानकारी	जानकारी	r6
7878	10	जानकारी	जानकारी	n	f	sg	3	d	0	0	-	मिली	मिल	k2
7878	11	नहीं	नहीं	avy	-	-	-	-	-	-	-	मिली	मिल	lwg__neg
7878	12	मिली	मिल	v	f	sg	any	-	या	yA	active	लेकिन	लेकिन	ccof
7878	13	लेकिन	लेकिन	avy	-	-	-	-	-	-	-	ROOT	ROOT	main
7878	14	प्रोफेसर	प्रोफेसर	n	m	sg	3	d	0	0	-	बोस	बोस	pof__cn
7878	15	बोस	बोस	n	m	sg	3	o	0_के_मुताबिक	0	-	बढ़	बढ	k7a
7878	16	के	के	psp	-	-	-	-	-	-	-	बोस	बोस	lwg__psp
7878	17	मुताबिक	मुताबिक	psp	-	-	-	-	-	-	-	बोस	बोस	lwg__psp
7878	18	उत्तर	उत्तर	n	m	sg	3	d	0	0	-	प्रदेश	प्रदेश	pof__cn
7878	19	प्रदेश	प्रदेश	n	m	sg	3	o	0	0	-	और	और	ccof
