sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	Tam	Voice	head_index	head_inflection	karaka Relation
2340	5	अनसुना	अनसुना	adj	m	sg	-	-	-	-	-	6.0	किए	pof
2340	6	किए	कर	v	any	sg	any	-	या_जा+ना_पर	yA	-	12.0	संभालना	k7
2340	7	जाने	जा	v	any	any	any	o	ना	nA	-	6.0	किए	lwg__vaux
2340	8	पर	पर	psp	-	-	-	-	-	-	-	6.0	किए	lwg__psp
2340	9	उन्हें	वह	pn	any	sg	3h	o	को	ko	-	12.0	संभालना	k1
2340	10	खुलेआम	खुलेआम	adv	-	-	-	-	-	-	-	12.0	संभालना	adv
2340	11	मोर्चा	मोर्चा	n	m	sg	3	d	0	0	-	12.0	संभालना	k2
2340	12	संभालना	संभाल	v	m	sg	any	-	ना_पड+या	nA	active	1.0	पर	ccof
2340	13	पड़ा	पड	v	m	sg	any	-	या	yA	-	12.0	संभालना	lwg__vaux
2340	14	।	।	punc	-	-	-	-	-	-	-	1.0	पर	rsym
2341	1	पार्टी	पार्टी	n	f	sg	3	o	0_का	0	-	3.0	कहना	k1
2341	2	का	का	psp	m	sg	-	d	-	-	-	1.0	पार्टी	lwg__psp
2341	3	कहना	कह	v	any	any	any	d	ना	nA	-	4.0	है	k1
2341	4	है	है	v	any	sg	3	-	है	hE	active	0.0	ROOT	main
2341	5	कि	कि	avy	-	-	-	-	-	-	-	3.0	कहना	k2
2341	6	राज	राज	n	m	sg	3	d	0	0	-	7.0	बब्बर	pof__cn
2341	7	बब्बर	बब्बर	n	any	sg	3	o	0_का	0	-	9.0	नाराजगी	r6
2341	8	की	का	psp	f	sg	-	o	-	-	-	7.0	बब्बर	lwg__psp
2341	9	नाराजगी	नाराजगी	n	f	sg	3	o	0_से	0	-	17.0	है	adv
2341	10	से	से	psp	-	-	-	-	-	-	-	9.0	नाराजगी	lwg__psp
2341	11	सपा	सपा	n	f	sg	3	d	0	0	-	12.0	नेताओं	nmod__adj
2341	12	नेताओं	नेता	n	m	pl	3	o	0_का	0	-	14.0	परेशान	r6-k1
2341	13	का	का	psp	m	sg	-	d	-	-	-	12.0	नेताओं	lwg__psp
2341	14	परेशान	परेशान	adj	any	any	-	-	-	-	-	15.0	होना	pof
2341	15	होना	हो	v	any	any	any	d	ना	nA	-	17.0	है	k1
2341	16	लाजिमी	लाजिमी	adj	any	any	-	-	-	-	-	17.0	है	k1s
2341	17	है	है	v	any	sg	3	-	है	hE	active	5.0	कि	ccof
2341	18	।	।	punc	-	-	-	-	-	-	-	4.0	है	rsym
2342	1	पार्टी	पार्टी	n	f	sg	3	d	0	0	-	8.0	लगवाती	k1
2342	2	उनसे	वह	pn	any	sg	3h	o	से	se	-	8.0	लगवाती	jk1
2342	3	समाजवाद	समाजवाद	n	m	sg	3	o	0_का	0	-	5.0	पक्ष	r6
2342	4	के	का	psp	m	sg	-	o	-	-	-	3.0	समाजवाद	lwg__psp
2342	5	पक्ष	पक्ष	n	m	sg	3	o	0_में	0	-	8.0	लगवाती	k7
2342	6	में	में	psp	-	-	-	-	-	-	-	5.0	पक्ष	lwg__psp
2342	7	नारा	नारा	n	m	sg	3	d	0	0	-	8.0	लगवाती	k2
2342	8	लगवाती	लग	v	f	sg	3	-	ता_रह+या_है	wA	active	0.0	ROOT	main
2342	9	रही	रह	v	f	sg	any	-	या	yA	-	8.0	लगवाती	lwg__vaux
2342	10	है	है	v	any	sg	3	-	है	hE	-	9.0	रही	lwg__vaux_cont
2342	11	।	।	punc	-	-	-	-	-	-	-	8.0	लगवाती	rsym
2343	1	कांग्रेस	कांग्रेस	n	f	sg	3	o	0_ने	0	-	4.0	लगाया	k1
2343	2	ने	ने	psp	-	-	-	-	-	-	-	1.0	कांग्रेस	lwg__psp
2343	3	आरोप	आरोप	n	m	sg	3	d	0	0	-	4.0	लगाया	k2
2343	4	लगाया	लगा	v	m	sg	3	-	या_है	yA	active	0.0	ROOT	main
2343	5	है	है	v	any	sg	3	-	है	hE	-	4.0	लगाया	lwg__vaux
2343	6	कि	कि	avy	-	-	-	-	-	-	-	3.0	आरोप	rs
2343	7	समाजवाद	समाजवाद	n	m	sg	3	d	0	0	-	13.0	रह	k1
2343	8	सैफई	सैफई	n	m	sg	3	d	0	0	-	9.0	गांव	nmod__adj
2343	9	गांव	गाँव	n	m	sg	3	o	0_तक	0	-	11.0	ठहर	k7p
2343	10	तक	तक	psp	-	-	-	-	-	-	-	9.0	गांव	lwg__psp
2343	11	ठहर	ठहर	v	any	any	any	-	0_कर	0	-	13.0	रह	vmod
2343	12	कर	कर	v	any	any	any	-	0	0	-	11.0	ठहर	lwg__vaux
2343	13	रह	रह	v	m	sg	3	-	0_जा+या१_है	0	active	6.0	कि	ccof
2343	14	गया	जा	v	m	sg	any	-	या१	yA1	-	13.0	रह	lwg__vaux
2343	15	है	है	v	any	sg	3	-	है	hE	-	14.0	गया	lwg__vaux_cont
2343	16	।	।	punc	-	-	-	-	-	-	-	4.0	लगाया	rsym
2344	1	सैकड़ों	सैकड़ा	num	any	pl	-	any	-	-	-	2.0	लोगों	nmod__adj
2344	2	लोगों	लोग	n	m	pl	3	o	0_का	0	-	4.0	आबादी	r6
2344	3	की	का	psp	f	sg	-	o	-	-	-	2.0	लोगों	lwg__psp
2344	4	आबादी	आबादी	n	f	sg	3	o	0_वाला	0	-	7.0	गांव	nmod
2344	5	वाले	वाला	psp	m	sg	-	o	-	-	-	4.0	आबादी	lwg__psp
2344	6	इस	यह	pn	any	sg	3	o	-	-	-	7.0	गांव	nmod__adj
2344	7	गांव	गाँव	n	m	sg	3	o	0_पर	0	-	11.0	खर्च	k7p
2344	8	पर	पर	psp	-	-	-	-	-	-	-	7.0	गांव	lwg__psp
2344	9	करोड़ों	करोड़	num	any	pl	-	any	-	-	-	10.0	रुपये	nmod__adj
2344	10	रुपये	रुपया	n	m	pl	3	d	0	0	-	11.0	खर्च	k2
2344	11	खर्च	खर्च	v	m	pl	3	-	0_कर+या_जा_रह+या_है	0	passive	0.0	ROOT	main
2344	12	किए	कर	v	m	pl	any	-	या	yA	-	11.0	खर्च	lwg__vaux
2344	13	जा	जा	v	any	any	any	-	0	0	-	12.0	किए	lwg__vaux_cont
2344	14	रहे	रह	v	m	pl	any	-	या	yA	-	13.0	जा	lwg__vaux_cont
2344	15	हैं	है	v	any	pl	3	-	है	hE	-	14.0	रहे	lwg__vaux_cont
2344	16	।	।	punc	-	-	-	-	-	-	-	11.0	खर्च	rsym
2345	1	दूसरी	दूसरा	num	f	sg	-	d	-	-	-	2.0	तरफ	nmod__adj
2345	2	तरफ	तरफ	nst	f	sg	3	d	-	-	-	12.0	तरस	rd
2345	3	उत्तर	उत्तर	n	m	sg	3	d	0	0	-	4.0	प्रदेश	pof__cn
2345	4	प्रदेश	प्रदेश	n	m	sg	3	o	0_में	0	-	12.0	तरस	k7
2345	5	में	में	psp	-	-	-	-	-	-	-	4.0	प्रदेश	lwg__psp
2345	6	करोड़ो	करोड़	num	any	any	-	any	-	-	-	7.0	लोग	nmod__adj
2345	7	लोग	लोग	n	m	pl	3	d	0	0	-	12.0	तरस	k1
2345	8	जरूरी	जरूरी	adj	any	any	-	o	-	-	-	9.0	चीजों	nmod__adj
2345	9	चीजों	चीज	n	f	pl	3	o	0_के_लिए	0	-	12.0	तरस	rt
2345	10	के	के	psp	-	-	-	-	-	-	-	9.0	चीजों	lwg__psp
2345	11	लिए	लिए	psp	-	-	-	-	-	-	-	9.0	चीजों	lwg__psp
2345	12	तरस	तरस	v	m	pl	3	-	0_रह+या_है	0	active	0.0	ROOT	main
2345	13	रहे	रह	v	m	pl	any	-	या	yA	-	12.0	तरस	lwg__vaux
2345	14	हैं	है	v	any	pl	3	-	है	hE	-	13.0	रहे	lwg__vaux_cont
2345	15	।	।	punc	-	-	-	-	-	-	-	12.0	तरस	rsym
2346	1	सपा	सपा	n	f	sg	3	d	0	0	-	7.0	रह	k1
2346	2	पूंजीपतियों	पूंजीपती	n	m	pl	3	o	0_का	0	-	4.0	पार्टी	r6
2346	3	की	का	psp	f	sg	-	d	-	-	-	2.0	पूंजीपतियों	lwg__psp
2346	4	पार्टी	पार्टी	n	f	sg	3	d	0	0	-	5.0	बन	k1
2346	5	बन	बन	v	any	any	any	-	0_कर	0	-	7.0	रह	vmod
2346	6	कर	कर	v	any	any	any	-	0	0	-	5.0	बन	lwg__vaux
2346	7	रह	रह	v	f	sg	3	-	0_जा+या१_है	0	active	0.0	ROOT	main
2346	8	गई	जा	v	f	sg	any	-	या१	yA1	-	7.0	रह	lwg__vaux
2346	9	है	है	v	any	sg	3	-	है	hE	-	8.0	गई	lwg__vaux_cont
2346	10	।	।	punc	-	-	-	-	-	-	-	7.0	रह	rsym
2347	1	सैफई	सैफई	n	m	sg	3	o	0_का	0	-	3.0	इस्तेमाल	r6-k2
2347	2	का	का	psp	m	sg	-	d	-	-	-	1.0	सैफई	lwg__psp
2347	3	इस्तेमाल	इस्तेमाल	n	m	sg	3	d	0	0	-	12.0	किया	pof
2347	4	इन	यह	pn	any	pl	3	o	-	-	-	5.0	पूंजीपतियों	nmod__adj
2347	5	पूंजीपतियों	पूंजीपती	n	m	pl	3	o	0_द्वारा	0	-	12.0	किया	k1
2347	6	द्वारा	द्वारा	psp	-	-	-	-	-	-	-	5.0	पूंजीपतियों	lwg__psp
2347	7	पिकनिक	पिकनिक	n	f	sg	3	d	0	0	-	8.0	स्पॉट	pof__cn
2347	8	स्पॉट	स्पॉट	n	m	sg	3	o	0_के_रूप_में	0	-	12.0	किया	k7
2347	9	के	के	psp	m	-	-	o	-	-	-	8.0	स्पॉट	lwg__psp
2347	10	रूप	रूप	n	m	-	-	o	-	-	-	8.0	स्पॉट	lwg__psp
2347	11	में	में	psp	-	-	-	-	-	-	-	8.0	स्पॉट	lwg__psp
2347	12	किया	कर	v	m	sg	3	-	या_जा_रह+या_है	yA	passive	0.0	ROOT	main
2347	13	जा	जा	v	any	any	any	-	0	0	-	12.0	किया	lwg__vaux
2347	14	रहा	रह	v	m	sg	any	-	या	yA	-	13.0	जा	lwg__vaux_cont
2347	15	है	है	v	any	sg	3	-	है	hE	-	14.0	रहा	lwg__vaux_cont
2347	16	।	।	punc	-	-	-	-	-	-	-	12.0	किया	rsym
2348	1	कांग्रेस	कांग्रेस	n	f	sg	3	o	0_ने	0	-	3.0	कहा	k1
2348	2	ने	ने	psp	-	-	-	-	-	-	-	1.0	कांग्रेस	lwg__psp
2348	3	कहा	कह	v	m	sg	3	-	या_है	yA	active	0.0	ROOT	main
2348	4	है	है	v	any	sg	3	-	है	hE	-	3.0	कहा	lwg__vaux
2348	5	कि	कि	avy	-	-	-	-	-	-	-	3.0	कहा	k2
2348	6	सपा	सपा	n	f	sg	3	d	0	0	-	7.0	नेताओं	nmod__adj
2348	7	नेताओं	नेता	n	m	pl	3	o	0_का	0	-	9.0	दिलचस्पी	r6
2348	8	की	का	psp	f	sg	-	d	-	-	-	7.0	नेताओं	lwg__psp
2348	9	दिलचस्पी	दिलचस्पी	n	f	sg	3	d	0	0	-	20.0	है	k1
2348	10	फिल्मी	फिल्मी	adj	any	any	-	o	-	-	-	11.0	दुनिया	nmod__adj
2348	11	दुनिया	दुनिया	n	f	sg	3	o	0_में	0	-	13.0	ज्यादा	k7
2348	12	में	में	psp	-	-	-	-	-	-	-	11.0	दुनिया	lwg__psp
2348	13	ज्यादा	ज्यादा	avy	-	-	-	-	-	-	-	14.0	और	ccof
2348	14	और	और	avy	-	-	-	-	-	-	-	20.0	है	k1s
2348	15	जनहित	जनहित	n	m	sg	3	o	0_का	0	-	17.0	कामों	r6
2348	16	के	का	psp	m	pl	-	o	-	-	-	15.0	जनहित	lwg__psp
2348	17	कामों	काम	n	m	pl	3	o	0_में	0	-	19.0	कम	k7
2348	18	में	में	psp	-	-	-	-	-	-	-	17.0	कामों	lwg__psp
2348	19	कम	कम	avy	-	-	-	-	-	-	-	14.0	और	ccof
2348	20	है	है	v	any	sg	3	-	है	hE	active	5.0	कि	ccof
2348	21	।	।	punc	-	-	-	-	-	-	-	3.0	कहा	rsym
2349	1	पार्टी	पार्टी	n	f	sg	3	d	0	0	-	2.0	प्रवक्ता	nmod__adj
2349	2	प्रवक्ता	प्रवक्ता	n	m	sg	3	d	0	0	-	5.0	संघवी	nmod__adj
2349	3	अभिषेक	अभिषेक	n	m	sg	3	d	0	0	-	5.0	संघवी	pof__cn
2349	4	मनु	मनु	n	m	sg	3	d	0	0	-	5.0	संघवी	pof__cn
2349	5	संघवी	संघवी	n	any	sg	3	o	0_ने	0	-	17.0	की	k1
2349	6	ने	ने	psp	-	-	-	-	-	-	-	5.0	संघवी	lwg__psp
2349	7	सपा	सपा	n	f	sg	3	d	0	0	-	8.0	नेताओं	nmod__adj
2349	8	नेताओं	नेता	n	m	pl	3	o	0_से	0	-	17.0	की	k4
2349	9	से	से	psp	-	-	-	-	-	-	-	8.0	नेताओं	lwg__psp
2349	10	राज	राज	n	m	sg	3	d	0	0	-	11.0	बब्बर	pof__cn
2349	11	बब्बर	बब्बर	n	any	sg	3	o	0_का	0	-	13.0	गुस्से	r6
2349	12	के	का	psp	m	sg	-	o	-	-	-	11.0	बब्बर	lwg__psp
2349	13	गुस्से	गुस्सा	n	m	sg	3	o	0_का	0	-	15.0	वजह	r6
2349	14	की	का	psp	f	sg	-	d	-	-	-	13.0	गुस्से	lwg__psp
2349	15	वजह	वजह	n	f	sg	3	d	0	0	-	17.0	की	k2
2349	16	मालूम	मालूम	adj	any	any	-	-	-	-	-	17.0	की	pof
2349	17	की	कर	v	f	sg	3	-	या_है	yA	active	0.0	ROOT	main
2349	18	है	है	v	any	sg	3	-	है	hE	-	17.0	की	lwg__vaux
2349	19	।	।	punc	-	-	-	-	-	-	-	17.0	की	rsym
2350	1	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	2.0	कहा	k1
2350	2	कहा	कह	v	m	sg	any	-	या	yA	active	0.0	ROOT	main
2350	3	कि	कि	avy	-	-	-	-	-	-	-	2.0	कहा	k2
2350	4	समाजवाद	समाजवाद	n	m	sg	3	o	0_का	0	-	6.0	चादर	r6
2350	5	की	का	psp	f	sg	-	d	-	-	-	4.0	समाजवाद	lwg__psp
